Year,State,Commodity,Mode,Shipwt Metric Ton,Shipwt Pound,TradeValue,TradeType,CommodityGroup
2013,Texas-Mexico Trade,Other Made up Textile Articles,Vessel,482.48,1063687.19,228657,Export,50 - 63  Textiles
2020,Texas-Mexico Trade,Copper and Articles,Air,0.007,15.4323,6947,Import,72 - 83  Metals
2016,Texas-Mexico Trade,Preparations of Fish and Meat,Truck,0,0,212286921,Export,16 - 24  Foodstuffs
2022,Texas-Mexico Trade,Miscellaneous Edible Preparations,Rail,0,0,1616913,Export,16 - 24  Foodstuffs
2020,Texas-Mexico Trade,Raw Hides and Skins,Truck,8218.318,18118304.55,61520096,Import,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2020,Texas-Mexico Trade,Glass,Truck,0,0,534259586,Export,68 - 71  Stone / Glass
2018,Texas-Mexico Trade,Knitted or Crocheted Apparel,Truck,39259.164,86551711.66,724029409,Import,50 - 63  Textiles
2020,Texas-Mexico Trade,Articles of Leather and Handbags,Rail,272.291,600299.3877,1503972,Import,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2016,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,0,0,197062120,Export,50 - 63  Textiles
2013,Texas-Mexico Trade,Feathers and Down,Rail,0,0,34380,Export,64 - 67  Footwear / Headgear
2014,Texas-Mexico Trade,Locomotives and Traffic Signals,Vessel,1890.05,4166850.385,2920038,Export,86 - 89  Transportation
2014,Texas-Mexico Trade,Organic Chemicals,Vessel,231580.118,510547183.4,323794613,Import,28 - 38  Chemicals & Allied Industries
2016,Texas-Mexico Trade,Wood and Articles,Vessel,53.446,117828.3565,91598,Import,44 - 49  Wood & Wood Products
2015,Texas-Mexico Trade,Measuring and Testing Instruments,Vessel,46.494,102501.8063,8499281,Export,90 - 97  Miscellaneous
2014,Texas-Mexico Trade,Vegetable Plaiting Materials,Air,6.914,15242.7732,16100,Export,06 - 15  Vegetable Products
2017,Texas-Mexico Trade,Clocks; Watches and Parts,Truck,0,0,13324504,Export,90 - 97  Miscellaneous
2017,Texas-Mexico Trade,Dairy Products,Vessel,106.846,235555.3006,402294,Import,01 - 05  Animal & Animal Products
2023,Texas-Mexico Trade,Essential Oils and Resinoids,Vessel,106.075,233855.5348,1057575,Import,28 - 38  Chemicals & Allied Industries
2013,Texas-Mexico Trade,Live Animals,Truck,55697.907,122792965.9,121739446,Import,01 - 05  Animal & Animal Products
2020,Texas-Mexico Trade,Animal or Vegetable Fats and Oils,Vessel,19.359,42679.3241,19448,Import,06 - 15  Vegetable Products
2014,Texas-Mexico Trade,Miscellaneous Edible Preparations,Rail,6576.556,14498835.96,15515478,Import,16 - 24  Foodstuffs
2022,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Vessel,19497.733,42985178.31,2028692,Export,25 - 27  Mineral Products
2023,Texas-Mexico Trade,Electrical Machinery; Equipment and Parts,Truck,0,0,33112197773,Export,84 - 85  Machinery / Electrical
2021,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Truck,0,0,265967366,Export,16 - 24  Foodstuffs
2024,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,0,0,398407923,Export,50 - 63  Textiles
2018,Texas-Mexico Trade,Malts; Starches and Inulin,Truck,30367.252,66948385.33,26089195,Import,06 - 15  Vegetable Products
2014,Texas-Mexico Trade,Headgear,Air,3.029,6677.8073,89847,Export,64 - 67  Footwear / Headgear
2014,Texas-Mexico Trade,Articles of Iron and Steel,Truck,1152326.264,2540446622,2796441572,Import,72 - 83  Metals
2013,Texas-Mexico Trade,Fertilizers,Truck,15005.816,33082188.4,17477156,Import,28 - 38  Chemicals & Allied Industries
2024,Texas-Mexico Trade,Paper and Paperboard,Truck,503028.822,1108989625,1223577012,Import,44 - 49  Wood & Wood Products
2015,Texas-Mexico Trade,Aircraft; Spacecraft and Parts,Truck,0,0,898998013,Export,86 - 89  Transportation
2014,Texas-Mexico Trade,Raw Hides and Skins,Other,0,0,50344,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2023,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Other,0.1,220.4624,1158,Import,50 - 63  Textiles
2014,Texas-Mexico Trade,Preparations of Fish and Meat,Rail,0,0,37961,Export,16 - 24  Foodstuffs
2023,Texas-Mexico Trade,Vehicles Other than Railway,Vessel,74570.552,164400060,950611356,Import,86 - 89  Transportation
2021,Texas-Mexico Trade,Oil Seeds and Oleaginous Fruits,Truck,37191.853,81994067.35,39479471,Import,06 - 15  Vegetable Products
2014,Texas-Mexico Trade,Edible Fruit and Nuts,Other,0,0,111466,Export,06 - 15  Vegetable Products
2016,Texas-Mexico Trade,Knitted or Crocheted Apparel,Truck,0,0,198047903,Export,50 - 63  Textiles
2024,Texas-Mexico Trade,Rubber and Articles,Air,129.112,284643.4654,3075725,Export,39 - 40  Plastics / Rubbers
2014,Texas-Mexico Trade,Umbrellas and Walking Sticks,Truck,0,0,2055100,Export,64 - 67  Footwear / Headgear
2024,Texas-Mexico Trade,Special Woven Fabrics,Truck,0,0,161054128,Export,50 - 63  Textiles
2015,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,383097.802,844586769.6,44197930,Import,25 - 27  Mineral Products
2015,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Vessel,207.924,458394.3274,2255953,Export,50 - 63  Textiles
2020,Texas-Mexico Trade,Vegetable Plaiting Materials,Other,0,0,4414,Export,06 - 15  Vegetable Products
2022,Texas-Mexico Trade,Impregnated Fabrics,Rail,0,0,465172,Export,50 - 63  Textiles
2018,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,125871.74,277499911.8,1788886082,Import,50 - 63  Textiles
2023,Texas-Mexico Trade,Ceramic Products,Air,10.882,23990.7223,8869013,Export,68 - 71  Stone / Glass
