Year,Port Original,POE,Region,Mode,Commodity Group,Commodity,Trade Type,Trade Value,Lat,Lon,Shipwt Metric Ton,Shipwt Pound
2023,Brownsville,Brownsville,Pharr,Truck,72 - 83  Metals,Tin and Articles,Import,3501766,25.95155,-97.40067,165.495,364854.3178
2022,El Paso,El Paso + Ysleta,El Paso,Rail,06 - 15  Vegetable Products,Vegetable Plaiting Materials,Export,870092,31.764363,-106.451188,0,0
2013,Brownsville,Brownsville,Pharr,Rail,28 - 38  Chemicals & Allied Industries,Fertilizers,Export,180934,25.95155,-97.40067,0,0
2014,Laredo,Laredo,Laredo,Truck,16 - 24  Foodstuffs,Preparations of Fish and Meat,Import,28472101,27.499561,-99.507412,7690.019,16953603.68
2021,Ysleta,El Paso + Ysleta,El Paso,Truck,72 - 83  Metals,Iron and Steel,Import,10160741,31.672276,-106.335328,10971.998,24189134.73
2013,Brownsville,Brownsville,Pharr,Truck,50 - 63  Textiles,Special Woven Fabrics,Export,7539878,25.95155,-97.40067,0,0
2019,Brownsville,Brownsville,Pharr,Truck,16 - 24  Foodstuffs,Preparations of Fish and Meat,Import,2014281,25.95155,-97.40067,119.855,264235.2593
2024,Rio Grande City,Rio Grande City,Pharr,Truck,06 - 15  Vegetable Products,Edible Fruit and Nuts,Import,7650034,26.365761,-98.802513,17598.958,38799092.58
2019,Presidio,Presidio,El Paso,Truck,68 - 71  Stone / Glass,Ceramic Products,Import,8000,29.561827,-104.394907,8,17636.9953
2016,El Paso,El Paso + Ysleta,El Paso,Air,72 - 83  Metals,Articles of Iron and Steel,Export,1327832,31.764363,-106.451188,21.147,46621.1916
2019,Brownsville,Brownsville,Pharr,Rail,39 - 40  Plastics / Rubbers,Plastics and Articles,Import,5811213,25.95155,-97.40067,3955.704,8720841.637
2017,Brownsville,Brownsville,Pharr,Truck,01 - 05  Animal & Animal Products,Dairy Products,Import,120488,25.95155,-97.40067,19.992,44074.8514
2021,Brownsville,Brownsville,Pharr,Vessel,84 - 85  Machinery / Electrical,Electrical Machinery; Equipment and Parts,Export,4958788,25.95155,-97.40067,45.217,99686.5018
2017,Laredo,Laredo,Laredo,Other,28 - 38  Chemicals & Allied Industries,Photographic Goods,Export,45276,27.499561,-99.507412,0,0
2014,Presidio,Presidio,El Paso,Truck,98 - 99  Service,Special Classification Provisions,Import,339896,29.561827,-104.394907,116.035,255813.5942
2018,Laredo,Laredo,Laredo,Truck,50 - 63  Textiles,Man-made Staple Fibers,Import,41227427,27.499561,-99.507412,6277.313,13839117.53
2021,Eagle Pass,Eagle Pass,Laredo,Truck,01 - 05  Animal & Animal Products,Meat and Edible Offal,Export,12904364,28.705483,-100.511977,0,0
2021,Ysleta,El Paso + Ysleta,El Paso,Truck,28 - 38  Chemicals & Allied Industries,Inorganic Chemicals,Export,14395256,31.672276,-106.335328,0,0
2023,Roma,Roma,Pharr,Truck,44 - 49  Wood & Wood Products,Cork and Articles,Export,4680,26.403928,-99.018981,0,0
2023,Ysleta,El Paso + Ysleta,El Paso,Truck,16 - 24  Foodstuffs,Cocoa and Cocoa Preparations,Import,6363882,31.672276,-106.335328,1322.833,2916349.935
