Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2020,U.S-Mexico Trade,Pharmaceutical Products,Vessel,28 - 38  Chemicals & Allied Industries,Export,37196793,531.563,1171896.768
2022,U.S-Mexico Trade,Tools of Base Metal,Truck,72 - 83  Metals,Export,1609775360,0,0
2017,U.S-Mexico Trade,Inorganic Chemicals,Air,28 - 38  Chemicals & Allied Industries,Import,203195625,186.05,410170.3667
2017,U.S-Mexico Trade,Articles of Leather and Handbags,Rail,"41 - 43  Raw Hides, Skins, Leather, & Furs",Import,406016,80.584,177657.4538
2020,U.S-Mexico Trade,Essential Oils and Resinoids,Truck,28 - 38  Chemicals & Allied Industries,Import,2151115791,423801.465,934323059
2017,U.S-Mexico Trade,Cotton,Air,50 - 63  Textiles,Export,1134827,118.081,260324.2513
2016,U.S-Mexico Trade,Edible Vegetables and Roots,Truck,06 - 15  Vegetable Products,Export,2405526784,0,0
2022,U.S-Mexico Trade,Organic Chemicals,Truck,28 - 38  Chemicals & Allied Industries,Export,3481374912,0,0
2015,U.S-Mexico Trade,Glass,Air,68 - 71  Stone / Glass,Import,8078781,520.636,1147806.832
2021,U.S-Mexico Trade,Other Made up Textile Articles,Other,50 - 63  Textiles,Export,320011925,0,0
2021,U.S-Mexico Trade,Vegetable Plaiting Materials,Vessel,06 - 15  Vegetable Products,Import,251867,402.298,886915.9939
2024,U.S-Mexico Trade,Zinc and Articles,Air,72 - 83  Metals,Export,515775,41.51,91513.9575
2014,U.S-Mexico Trade,Articles of Iron and Steel,Air,72 - 83  Metals,Export,189488128,13705.566,30215625.45
2017,U.S-Mexico Trade,Coffee; Tea and Spices,Air,06 - 15  Vegetable Products,Import,2183828,450.584,993368.4852
2015,U.S-Mexico Trade,Vehicles Other than Railway,Truck,86 - 89  Transportation,Import,62446360308,9638692.725,21249697360
2014,U.S-Mexico Trade,Vehicles Other than Railway,Air,86 - 89  Transportation,Export,247137120,9687.275,21356803
2023,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Mail,68 - 71  Stone / Glass,Export,8035,0,0
2017,U.S-Mexico Trade,Rubber and Articles,Rail,39 - 40  Plastics / Rubbers,Export,382089952,0,0
2017,U.S-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,25 - 27  Mineral Products,Export,502325152,0,0
2019,U.S-Mexico Trade,Articles of Iron and Steel,Foreign Trade Zones,72 - 83  Metals,Import,7733249,633.752,1397185.131
2023,U.S-Mexico Trade,Lead and Articles,Other,72 - 83  Metals,Export,804128,0,0
2020,U.S-Mexico Trade,Edible Fruit and Nuts,Air,06 - 15  Vegetable Products,Export,3778632,1136.413,2505363.846
2023,U.S-Mexico Trade,Ores; Slag and Ash,Other,25 - 27  Mineral Products,Export,7394296,0,0
2022,U.S-Mexico Trade,Articles of Leather and Handbags,Air,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,104235838,1462.784,3224889.308
2014,U.S-Mexico Trade,Raw Hides and Skins,Vessel,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,4201575,471.317,1039076.966
2018,U.S-Mexico Trade,Ships and Boats,Rail,86 - 89  Transportation,Export,375874,0,0
2013,U.S-Mexico Trade,Works of Art and Antiques,Truck,90 - 97  Miscellaneous,Export,92581699,0,0
2022,U.S-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Rail,16 - 24  Foodstuffs,Import,236901977,220117.066,485275459
2023,U.S-Mexico Trade,Knitted or Crocheted Fabrics,Truck,50 - 63  Textiles,Export,319134352,0,0
2015,U.S-Mexico Trade,Man-made Staple Fibers,Air,50 - 63  Textiles,Import,681705,23.836,52549.4245
2013,U.S-Mexico Trade,Wool and Animal Hair,Rail,50 - 63  Textiles,Export,15561,0,0
2013,U.S-Mexico Trade,Fish and Crustaceans,Air,01 - 05  Animal & Animal Products,Import,87119514,10777.383,23760081.73
2023,U.S-Mexico Trade,Edible Fruit and Nuts,Truck,06 - 15  Vegetable Products,Import,11003450701,5101312.225,11246477506
2018,U.S-Mexico Trade,Plastics and Articles,Mail,39 - 40  Plastics / Rubbers,Export,833699,0,0
2014,U.S-Mexico Trade,Computer-Related Machinery and Parts,Air,84 - 85  Machinery / Electrical,Import,2569041937,15378.241,33903245.6
2015,U.S-Mexico Trade,Preparations of Cereals and Flour,Foreign Trade Zones,16 - 24  Foodstuffs,Import,4573,2.951,6505.8466
2019,U.S-Mexico Trade,Lac; Gums; Resins and Saps,Vessel,06 - 15  Vegetable Products,Export,191527,15.78,34788.9732
2013,U.S-Mexico Trade,Impregnated Fabrics,Vessel,50 - 63  Textiles,Import,157776,24.682,54414.5397
2014,U.S-Mexico Trade,Coffee; Tea and Spices,Truck,06 - 15  Vegetable Products,Export,678273171,0,0
2019,U.S-Mexico Trade,Wood and Articles,Rail,44 - 49  Wood & Wood Products,Import,4336357340,11208753.65,24711092016
2019,U.S-Mexico Trade,Paper and Paperboard,Truck,44 - 49  Wood & Wood Products,Import,5687433581,4539742.418,10008426996
2018,U.S-Mexico Trade,Dairy Products,Vessel,01 - 05  Animal & Animal Products,Export,12169712,6738.891,14856723.66
2021,U.S-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Rail,28 - 38  Chemicals & Allied Industries,Import,25059434,5309.579,11705627.52
2020,U.S-Mexico Trade,Articles of Iron and Steel,Air,72 - 83  Metals,Import,52775931,1098.173,2421058.996
2022,U.S-Mexico Trade,Ships and Boats,Other,86 - 89  Transportation,Export,51680103,0,0
2021,U.S-Mexico Trade,Measuring and Testing Instruments,Air,90 - 97  Miscellaneous,Import,2012836917,8542.529,18833067.99
2022,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Mail,86 - 89  Transportation,Export,70171,0,0
2019,U.S-Mexico Trade,Glass,Air,68 - 71  Stone / Glass,Import,9520344,1177.891,2596807.255
2018,U.S-Mexico Trade,Explosives,Truck,28 - 38  Chemicals & Allied Industries,Import,202118169,15063.154,33208597.14
2024,U.S-Mexico Trade,Man-made Filaments,Air,50 - 63  Textiles,Export,3100907,84.421,186116.5902
2020,U.S-Mexico Trade,Special Classification Provisions,Truck,98 - 99  Service,Export,4040914610,0,0
2013,U.S-Mexico Trade,Vegetable Plaiting Materials,Vessel,06 - 15  Vegetable Products,Import,10313,15.276,33677.8425
2023,U.S-Mexico Trade,Tools of Base Metal,Vessel,72 - 83  Metals,Export,2196650,85.05,187503.3036
2022,U.S-Mexico Trade,Fish and Crustaceans,Truck,01 - 05  Animal & Animal Products,Import,4080075959,318683.84,702578176
2020,U.S-Mexico Trade,Clocks; Watches and Parts,Vessel,90 - 97  Miscellaneous,Export,646193,6.196,13659.8521
2024,U.S-Mexico Trade,Edible Vegetables and Roots,Truck,06 - 15  Vegetable Products,Export,3486389286,0,0
2021,U.S-Mexico Trade,Zinc and Articles,Air,72 - 83  Metals,Import,174809,6.519,14371.9452
2021,U.S-Mexico Trade,Computer-Related Machinery and Parts,Air,84 - 85  Machinery / Electrical,Export,4690664308,37884.681,83521492.8
2013,U.S-Mexico Trade,Headgear,Air,64 - 67  Footwear / Headgear,Export,4242975,60.132,132568.4652
2019,U.S-Mexico Trade,Toys; Games and Sport Equipment,Other,90 - 97  Miscellaneous,Export,346402266,0,0
2017,U.S-Mexico Trade,Fish and Crustaceans,Other,01 - 05  Animal & Animal Products,Import,327600,43.703,96348.7008
2024,U.S-Mexico Trade,Knitted or Crocheted Fabrics,Rail,50 - 63  Textiles,Export,15945,0,0
2023,U.S-Mexico Trade,Knitted or Crocheted Apparel,Vessel,50 - 63  Textiles,Export,5135371,190.103,419105.7128
2017,U.S-Mexico Trade,Toys; Games and Sport Equipment,Air,90 - 97  Miscellaneous,Import,8278647,225.975,498189.9985
2016,U.S-Mexico Trade,Rubber and Articles,Other,39 - 40  Plastics / Rubbers,Import,1676,0.101,222.6669
2023,U.S-Mexico Trade,Cork and Articles,Air,44 - 49  Wood & Wood Products,Import,112597,4.93,10868.798
2016,U.S-Mexico Trade,Toys; Games and Sport Equipment,Truck,90 - 97  Miscellaneous,Export,2327383394,0,0
2019,U.S-Mexico Trade,Silk,Air,50 - 63  Textiles,Export,376448,2.771,6109.0117
2017,U.S-Mexico Trade,Wool and Animal Hair,Mail,50 - 63  Textiles,Export,201387,0,0
2015,U.S-Mexico Trade,Nickel and Articles,Truck,72 - 83  Metals,Import,811479673,60739.732,133908296.4
2022,U.S-Mexico Trade,Articles of Iron and Steel,Truck,72 - 83  Metals,Export,12574612681,0,0
2019,U.S-Mexico Trade,Pharmaceutical Products,Foreign Trade Zones,28 - 38  Chemicals & Allied Industries,Import,12641221,120.267,265143.5646
2016,U.S-Mexico Trade,Sugars and Sugar Confectionery,Rail,16 - 24  Foodstuffs,Export,546604684,0,0
2017,U.S-Mexico Trade,Inorganic Chemicals,Pipeline,28 - 38  Chemicals & Allied Industries,Export,63746,0,0
2014,U.S-Mexico Trade,Animal or Vegetable Fats and Oils,Rail,06 - 15  Vegetable Products,Import,1589770150,1673498.994,3689436749
2021,U.S-Mexico Trade,Edible Vegetables and Roots,Truck,06 - 15  Vegetable Products,Import,10395711798,9047667.628,19946708998
2016,U.S-Mexico Trade,Preparations of Fish and Meat,Rail,16 - 24  Foodstuffs,Import,920657,468.055,1031885.483
2018,U.S-Mexico Trade,Miscellaneous Chemical Products,Other,28 - 38  Chemicals & Allied Industries,Export,184553615,0,0
2018,U.S-Mexico Trade,Measuring and Testing Instruments,Foreign Trade Zones,90 - 97  Miscellaneous,Import,207280755,4503.349,9928193.172
2018,U.S-Mexico Trade,Clocks; Watches and Parts,Vessel,90 - 97  Miscellaneous,Export,719021,9.19,20260.4973
2021,U.S-Mexico Trade,Toys; Games and Sport Equipment,Other,90 - 97  Miscellaneous,Export,454183697,0,0
2023,U.S-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Rail,16 - 24  Foodstuffs,Export,170940794,0,0
2020,U.S-Mexico Trade,Wadding; Felt and Nonwovens,Other,50 - 63  Textiles,Import,14915,0.208,458.5618
2023,U.S-Mexico Trade,Knitted or Crocheted Apparel,Foreign Trade Zones,50 - 63  Textiles,Import,2370995,83.657,184432.2638
2013,U.S-Mexico Trade,Live Trees and Plants,Rail,06 - 15  Vegetable Products,Import,201243,262.971,579752.288
2013,U.S-Mexico Trade,Fish and Crustaceans,Truck,01 - 05  Animal & Animal Products,Import,2621010943,291732.586,643160783.2
2024,U.S-Mexico Trade,Arms and Ammunition and Parts,Foreign Trade Zones,90 - 97  Miscellaneous,Import,4123200,45.637,100612.444
2015,U.S-Mexico Trade,Man-made Staple Fibers,Truck,50 - 63  Textiles,Import,134810035,25791.374,56860292.94
2014,U.S-Mexico Trade,Rubber and Articles,Rail,39 - 40  Plastics / Rubbers,Import,602689813,146765.965,323563830.5
2018,U.S-Mexico Trade,Organic Chemicals,Rail,28 - 38  Chemicals & Allied Industries,Export,2212973345,0,0
2016,U.S-Mexico Trade,Wood and Articles,Vessel,44 - 49  Wood & Wood Products,Export,18083047,85598.812,188713231.3
2015,U.S-Mexico Trade,Malts; Starches and Inulin,Other,06 - 15  Vegetable Products,Export,10160338,0,0
2020,U.S-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Foreign Trade Zones,28 - 38  Chemicals & Allied Industries,Import,122094,23.058,50834.2294
2014,U.S-Mexico Trade,Coffee; Tea and Spices,Air,06 - 15  Vegetable Products,Export,2477050,367.634,810494.8907
2014,U.S-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,25 - 27  Mineral Products,Import,333868256,3471920.814,7654281411
2019,U.S-Mexico Trade,Paper and Paperboard,Air,44 - 49  Wood & Wood Products,Import,7619254,336.042,740846.3937
2015,U.S-Mexico Trade,Toys; Games and Sport Equipment,Foreign Trade Zones,90 - 97  Miscellaneous,Import,410026964,59575.976,131342651.5
2014,U.S-Mexico Trade,Oil Seeds and Oleaginous Fruits,Other,06 - 15  Vegetable Products,Export,30036871,0,0
2019,U.S-Mexico Trade,Miscellaneous Edible Preparations,Foreign Trade Zones,16 - 24  Foodstuffs,Import,568183,1819.497,4011307.518
2023,U.S-Mexico Trade,Knitted or Crocheted Fabrics,Air,50 - 63  Textiles,Export,1109644,129.112,284643.4636
2023,U.S-Mexico Trade,Edible Fruit and Nuts,Air,06 - 15  Vegetable Products,Import,231950,60.02,132321.557
2014,U.S-Mexico Trade,Computer-Related Machinery and Parts,Truck,84 - 85  Machinery / Electrical,Import,58258380705,5201047.852,11466357104
2019,U.S-Mexico Trade,Fish and Crustaceans,Truck,01 - 05  Animal & Animal Products,Import,3399667152,315858.966,696350389.8
2018,U.S-Mexico Trade,Nickel and Articles,Rail,72 - 83  Metals,Import,116986,286.933,632579.4986
2021,U.S-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Vessel,16 - 24  Foodstuffs,Import,281619912,261846.909,577274089.9
2016,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Air,86 - 89  Transportation,Export,3507898844,4624.986,10196357.02
2018,U.S-Mexico Trade,Cereals,Air,06 - 15  Vegetable Products,Export,891404,527.239,1162363.974
2021,U.S-Mexico Trade,Live Trees and Plants,Air,06 - 15  Vegetable Products,Import,16170167,828.962,1827549.865
2016,U.S-Mexico Trade,Fertilizers,Vessel,28 - 38  Chemicals & Allied Industries,Import,44435224,123355.224,271951939.2
2017,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Truck,86 - 89  Transportation,Import,3025952072,14127.394,31145597.78
2013,U.S-Mexico Trade,Articles of Iron and Steel,Other,72 - 83  Metals,Export,889641965,0,0
2018,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Other,86 - 89  Transportation,Import,2504641274,1792.053,3950803.803
2021,U.S-Mexico Trade,Feathers and Down,Truck,64 - 67  Footwear / Headgear,Import,13165555,772.162,1702327.194
2021,U.S-Mexico Trade,Raw Hides and Skins,Air,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,3657728,51.557,113663.8159
2018,U.S-Mexico Trade,Oil Seeds and Oleaginous Fruits,Rail,06 - 15  Vegetable Products,Import,194935351,477777.637,1053320246
2017,U.S-Mexico Trade,Knitted or Crocheted Fabrics,Truck,50 - 63  Textiles,Import,65177656,7088.878,15628313.54
2019,U.S-Mexico Trade,Cereals,Vessel,06 - 15  Vegetable Products,Export,1414644527,7482009.425,16495020690
2020,U.S-Mexico Trade,Miscellaneous Manufactured Articles,Rail,90 - 97  Miscellaneous,Import,43548017,8705.58,19192534.26
2024,U.S-Mexico Trade,Products of Animal Origin,Rail,01 - 05  Animal & Animal Products,Import,9847646,8318.112,18338312.84
2017,U.S-Mexico Trade,Zinc and Articles,Rail,72 - 83  Metals,Import,1151651670,391336.011,862748926.3
2019,U.S-Mexico Trade,Malts; Starches and Inulin,Rail,06 - 15  Vegetable Products,Import,279130015,503828.243,1110752048
2017,U.S-Mexico Trade,Man-made Filaments,Other,50 - 63  Textiles,Import,65473,5.094,11230.3567
2018,U.S-Mexico Trade,Mineral Fuels; Oils and Waxes,Mail,25 - 27  Mineral Products,Export,2502,0,0
2014,U.S-Mexico Trade,Food Residues and Waste,Air,16 - 24  Foodstuffs,Import,79931,3.179,7008.5009
2014,U.S-Mexico Trade,Cotton,Rail,50 - 63  Textiles,Export,486267,0,0
2018,U.S-Mexico Trade,Preparations of Cereals and Flour,Rail,16 - 24  Foodstuffs,Import,507813135,306936.876,676680532.3
2021,U.S-Mexico Trade,Tools of Base Metal,Other,72 - 83  Metals,Import,23892,0.226,498.245
2014,U.S-Mexico Trade,Works of Art and Antiques,Other,90 - 97  Miscellaneous,Export,6566975,0,0
2024,U.S-Mexico Trade,Ores; Slag and Ash,Truck,25 - 27  Mineral Products,Export,1599274185,0,0
2017,U.S-Mexico Trade,Electrical Machinery; Equipment and Parts,Mail,84 - 85  Machinery / Electrical,Import,5910,1.039,2290.6047
2021,U.S-Mexico Trade,Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Export,1375623711,0,0
2013,U.S-Mexico Trade,Dairy Products,Truck,01 - 05  Animal & Animal Products,Export,1519206634,0,0
2021,U.S-Mexico Trade,Articles of Iron and Steel,Other,72 - 83  Metals,Export,1082365175,0,0
2023,U.S-Mexico Trade,Miscellaneous Manufactured Articles,Mail,90 - 97  Miscellaneous,Export,27714,0,0
2016,U.S-Mexico Trade,Tools of Base Metal,Mail,72 - 83  Metals,Export,738252,0,0
2020,U.S-Mexico Trade,Miscellaneous Edible Preparations,Other,16 - 24  Foodstuffs,Export,207172148,0,0
2020,U.S-Mexico Trade,Vegetable Plaiting Materials,Vessel,06 - 15  Vegetable Products,Import,684089,1224.695,2699992.503
2019,U.S-Mexico Trade,Ships and Boats,Mail,86 - 89  Transportation,Export,33849,0,0
2018,U.S-Mexico Trade,Electrical Machinery; Equipment and Parts,Vessel,84 - 85  Machinery / Electrical,Import,184443909,14758.175,32536232.97
2015,U.S-Mexico Trade,Products of Animal Origin,Other,01 - 05  Animal & Animal Products,Import,84654,3.199,7052.5935
2015,U.S-Mexico Trade,Fertilizers,Vessel,28 - 38  Chemicals & Allied Industries,Import,113480869,306647.513,676042595.5
2016,U.S-Mexico Trade,Other Made up Textile Articles,Truck,50 - 63  Textiles,Export,662485713,0,0
2021,U.S-Mexico Trade,Essential Oils and Resinoids,Air,28 - 38  Chemicals & Allied Industries,Import,12537397,257.031,566656.8066
2016,U.S-Mexico Trade,Printed Books,Truck,44 - 49  Wood & Wood Products,Import,879016599,174380.028,384442468.1
2017,U.S-Mexico Trade,Arms and Ammunition and Parts,Vessel,90 - 97  Miscellaneous,Export,7500004,213.043,469679.7997
2018,U.S-Mexico Trade,Not Knitted or Crocheted Apparel,Air,50 - 63  Textiles,Export,41607746,1073.685,2367072.148
2022,U.S-Mexico Trade,Iron and Steel,Air,72 - 83  Metals,Export,7879650,2319.911,5114532.434
2021,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Rail,68 - 71  Stone / Glass,Import,150400119,368540.61,812493628.6
2022,U.S-Mexico Trade,Locomotives and Traffic Signals,Vessel,86 - 89  Transportation,Export,9269026,2877.999,6344906.873
2017,U.S-Mexico Trade,Tools of Base Metal,Air,72 - 83  Metals,Export,339003219,2460.357,5424163.087
2018,U.S-Mexico Trade,Pharmaceutical Products,Truck,28 - 38  Chemicals & Allied Industries,Import,5214062596,183256.455,404011655.8
2014,U.S-Mexico Trade,Products of Animal Origin,Vessel,01 - 05  Animal & Animal Products,Export,52244,50.765,111917.7586
2017,U.S-Mexico Trade,Edible Vegetables and Roots,Truck,06 - 15  Vegetable Products,Export,2555578638,0,0
2015,U.S-Mexico Trade,Zinc and Articles,Vessel,72 - 83  Metals,Import,85928,76.491,168633.9265
2016,U.S-Mexico Trade,Cocoa and Cocoa Preparations,Other,16 - 24  Foodstuffs,Export,22054037,0,0
2018,U.S-Mexico Trade,Aluminum and Articles,Other,72 - 83  Metals,Export,140924672,0,0
2014,U.S-Mexico Trade,Toys; Games and Sport Equipment,Air,90 - 97  Miscellaneous,Import,10569271,229.23,505366.0503
2015,U.S-Mexico Trade,Straw and Basketware,Truck,44 - 49  Wood & Wood Products,Export,4920110,0,0
2015,U.S-Mexico Trade,Man-made Filaments,Mail,50 - 63  Textiles,Export,134034,0,0
2013,U.S-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Vessel,28 - 38  Chemicals & Allied Industries,Export,8883254,1405.826,3099318.326
2017,U.S-Mexico Trade,Knitted or Crocheted Apparel,Rail,50 - 63  Textiles,Import,767807,58.219,128351.0286
2015,U.S-Mexico Trade,Electrical Machinery; Equipment and Parts,Vessel,84 - 85  Machinery / Electrical,Export,224522189,11900.042,26235123.18
2013,U.S-Mexico Trade,Special Woven Fabrics,Vessel,50 - 63  Textiles,Import,123631,10.091,22246.8643
2024,U.S-Mexico Trade,Special Classification Provisions,Other,98 - 99  Service,Import,297924531,33881.8,74696643.67
2013,U.S-Mexico Trade,Tobacco and Manufactured Tobacco,Vessel,16 - 24  Foodstuffs,Export,36101718,5650.602,12457455.16
2015,U.S-Mexico Trade,Toys; Games and Sport Equipment,Truck,90 - 97  Miscellaneous,Export,2512194407,0,0
2015,U.S-Mexico Trade,Dairy Products,Other,01 - 05  Animal & Animal Products,Export,3220865,0,0
2020,U.S-Mexico Trade,Carpets and Other Textile Floor Coverings,Other,50 - 63  Textiles,Export,164393988,0,0
2018,U.S-Mexico Trade,Fertilizers,Vessel,28 - 38  Chemicals & Allied Industries,Export,258808700,792344.61,1746822276
2022,U.S-Mexico Trade,Explosives,Other,28 - 38  Chemicals & Allied Industries,Export,3145822,0,0
2014,U.S-Mexico Trade,Nickel and Articles,Rail,72 - 83  Metals,Export,13085401,0,0
2024,U.S-Mexico Trade,Wool and Animal Hair,Truck,50 - 63  Textiles,Import,43670803,1708.572,3766759.549
2019,U.S-Mexico Trade,Headgear,Foreign Trade Zones,64 - 67  Footwear / Headgear,Import,380,0.025,55.1156
2023,U.S-Mexico Trade,Dairy Products,Truck,01 - 05  Animal & Animal Products,Export,2958713959,0,0
2013,U.S-Mexico Trade,Cereals,Rail,06 - 15  Vegetable Products,Import,1355900660,4475791.601,9867439463
2023,U.S-Mexico Trade,Clocks; Watches and Parts,Vessel,90 - 97  Miscellaneous,Export,1235827,9.139,20148.062
2021,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Mail,86 - 89  Transportation,Export,64150,0,0
2023,U.S-Mexico Trade,Soap and Organic Surface-Active Agents,Other,28 - 38  Chemicals & Allied Industries,Export,245901800,0,0
2017,U.S-Mexico Trade,Cocoa and Cocoa Preparations,Rail,16 - 24  Foodstuffs,Import,44229445,66029.546,145570349.6
2022,U.S-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Air,90 - 97  Miscellaneous,Import,57934260,1806.651,3982986.888
2022,U.S-Mexico Trade,Musical Instruments and Parts,Air,90 - 97  Miscellaneous,Import,5765063,51.151,112768.7404
2013,U.S-Mexico Trade,Zinc and Articles,Air,72 - 83  Metals,Export,378603,51.806,114212.7699
2022,U.S-Mexico Trade,Footwear,Truck,64 - 67  Footwear / Headgear,Export,378354262,0,0
2020,U.S-Mexico Trade,Silk,Air,50 - 63  Textiles,Export,206211,2.03,4475.3861
2023,U.S-Mexico Trade,Miscellaneous Articles of Base Metals,Vessel,72 - 83  Metals,Export,2504044,156.978,346077.5288
2016,U.S-Mexico Trade,Works of Art and Antiques,Vessel,90 - 97  Miscellaneous,Export,1879646,14.443,31841.3899
2015,U.S-Mexico Trade,Special Classification Provisions,Air,98 - 99  Service,Import,3029953392,6173.038,13609230.27
2020,U.S-Mexico Trade,Soap and Organic Surface-Active Agents,Air,28 - 38  Chemicals & Allied Industries,Import,798655,29.9,65918.2672
2021,U.S-Mexico Trade,Paper and Paperboard,Truck,44 - 49  Wood & Wood Products,Export,7747593352,0,0
2021,U.S-Mexico Trade,Miscellaneous Chemical Products,Truck,28 - 38  Chemicals & Allied Industries,Export,8035824834,0,0
2023,U.S-Mexico Trade,Musical Instruments and Parts,Truck,90 - 97  Miscellaneous,Export,127701428,0,0
2023,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Other,68 - 71  Stone / Glass,Import,4500,6.066,13373.2517
2014,U.S-Mexico Trade,Lead and Articles,Other,72 - 83  Metals,Export,1031694,0,0
2018,U.S-Mexico Trade,Measuring and Testing Instruments,Vessel,90 - 97  Miscellaneous,Export,53445439,944.362,2081963.519
2016,U.S-Mexico Trade,Miscellaneous Manufactured Articles,Truck,90 - 97  Miscellaneous,Import,1300753971,253871.796,559691961
2021,U.S-Mexico Trade,Wood and Articles,Rail,44 - 49  Wood & Wood Products,Export,387192720,0,0
2021,U.S-Mexico Trade,Lac; Gums; Resins and Saps,Vessel,06 - 15  Vegetable Products,Import,163266,79.564,175408.7368
2017,U.S-Mexico Trade,Pulp of Wood and Paperboard,Air,44 - 49  Wood & Wood Products,Export,139285,546.25,1204276.089
2015,U.S-Mexico Trade,Furskins and Artificial Fur,Air,"41 - 43  Raw Hides, Skins, Leather, & Furs",Import,4313052,25.844,56976.3113
2024,U.S-Mexico Trade,Ceramic Products,Rail,68 - 71  Stone / Glass,Import,155073490,129678.097,285891499.4
2016,U.S-Mexico Trade,Lac; Gums; Resins and Saps,Vessel,06 - 15  Vegetable Products,Export,50191,3.654,8055.6974
2014,U.S-Mexico Trade,Rubber and Articles,Vessel,39 - 40  Plastics / Rubbers,Export,14149190,2048.013,4515099.467
2015,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Truck,86 - 89  Transportation,Import,3295009166,15964.449,35195614.09
2016,U.S-Mexico Trade,Explosives,Air,28 - 38  Chemicals & Allied Industries,Import,41920,1.475,3251.8208
2017,U.S-Mexico Trade,Umbrellas and Walking Sticks,Air,64 - 67  Footwear / Headgear,Export,148997,8.006,17650.2218
2024,U.S-Mexico Trade,Knitted or Crocheted Apparel,Air,50 - 63  Textiles,Import,36369458,759.557,1674537.899
2016,U.S-Mexico Trade,Paper and Paperboard,Truck,44 - 49  Wood & Wood Products,Import,5479628785,4791850.187,10564229940
2018,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Air,68 - 71  Stone / Glass,Import,7145056,350.729,773225.7145
2024,U.S-Mexico Trade,Fish and Crustaceans,Vessel,01 - 05  Animal & Animal Products,Export,87248565,10993.471,24236474.63
2023,U.S-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Vessel,16 - 24  Foodstuffs,Import,426792101,266082.149,586611203.5
2015,U.S-Mexico Trade,Beverages; Spirits and Vinegar,Truck,16 - 24  Foodstuffs,Import,2302434213,2387571.606,5263698667
2022,U.S-Mexico Trade,Nickel and Articles,Truck,72 - 83  Metals,Import,1492180135,61114.782,134735140.8
2018,U.S-Mexico Trade,Organic Chemicals,Vessel,28 - 38  Chemicals & Allied Industries,Import,523496862,464140.419,1023255302
2024,U.S-Mexico Trade,Special Woven Fabrics,Air,50 - 63  Textiles,Import,30329248,119.374,263174.8319
2014,U.S-Mexico Trade,Salt; Sulfur; Plaster and Cement,Vessel,25 - 27  Mineral Products,Export,105084220,1042387.238,2298072360
2014,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Air,86 - 89  Transportation,Export,3744305779,4671.76,10299476.12
2015,U.S-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Air,90 - 97  Miscellaneous,Export,132514388,5842.669,12880890.72
2020,U.S-Mexico Trade,Plastics and Articles,Truck,39 - 40  Plastics / Rubbers,Export,21332116783,0,0
2023,U.S-Mexico Trade,Ships and Boats,Vessel,86 - 89  Transportation,Export,153165414,9832.331,21676597.03
2016,U.S-Mexico Trade,Wood and Articles,Rail,44 - 49  Wood & Wood Products,Import,5417513245,12513091.27,27586666576
2016,U.S-Mexico Trade,Tobacco and Manufactured Tobacco,Truck,16 - 24  Foodstuffs,Import,111884729,18486.807,40756466.16
2024,U.S-Mexico Trade,Miscellaneous Edible Preparations,Other,16 - 24  Foodstuffs,Export,348597860,0,0
2014,U.S-Mexico Trade,Glass,Truck,68 - 71  Stone / Glass,Export,2100272364,0,0
2016,U.S-Mexico Trade,Miscellaneous Edible Preparations,Air,16 - 24  Foodstuffs,Export,12287830,1184.14,2610583.95
2016,U.S-Mexico Trade,Furskins and Artificial Fur,Air,"41 - 43  Raw Hides, Skins, Leather, & Furs",Import,1689440,8.201,18080.1226
2023,U.S-Mexico Trade,Sugars and Sugar Confectionery,Other,16 - 24  Foodstuffs,Export,27309362,0,0
2017,U.S-Mexico Trade,Other Base Metals and Cermets,Rail,72 - 83  Metals,Import,1923212,235.589,519385.2624
2024,U.S-Mexico Trade,Tanning or Dyeing Extracts,Air,28 - 38  Chemicals & Allied Industries,Import,1531868,59.998,132273.0513
