Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2018,Texas-Mexico Trade,Other Made up Textile Articles,Rail,50 - 63  Textiles,Import,1834512,613.4,1352316.618
2016,Texas-Mexico Trade,Pharmaceutical Products,Truck,28 - 38  Chemicals & Allied Industries,Import,277334719,61256.928,135048519.4
2018,Texas-Mexico Trade,Articles of Leather and Handbags,Rail,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,284338,0,0
2015,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Foreign Trade Zones,90 - 97  Miscellaneous,Import,121772402,2594.045,5718894.953
2020,Texas-Mexico Trade,Clocks; Watches and Parts,Air,90 - 97  Miscellaneous,Import,2289,0.01,22.0462
2024,Texas-Mexico Trade,Articles of Leather and Handbags,Vessel,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,8360,0.02,44.0924
2014,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Other,50 - 63  Textiles,Import,3180,0.018,39.6832
2014,Texas-Mexico Trade,Tools of Base Metal,Truck,72 - 83  Metals,Export,537841064,0,0
2020,Texas-Mexico Trade,Fertilizers,Rail,28 - 38  Chemicals & Allied Industries,Import,935142,1068.048,2354644.702
2021,Texas-Mexico Trade,Impregnated Fabrics,Vessel,50 - 63  Textiles,Export,260411,35.801,78927.7587
2013,Texas-Mexico Trade,Tools of Base Metal,Rail,72 - 83  Metals,Import,4460984,687.865,1516483.976
2018,Texas-Mexico Trade,Live Animals,Air,01 - 05  Animal & Animal Products,Import,3400,0.066,145.5052
2017,Texas-Mexico Trade,Wood and Articles,Rail,44 - 49  Wood & Wood Products,Export,71389926,0,0
2013,Texas-Mexico Trade,Edible Vegetables and Roots,Air,06 - 15  Vegetable Products,Export,4250,5.922,13055.7858
2020,Texas-Mexico Trade,Ceramic Products,Air,68 - 71  Stone / Glass,Import,7764,0.396,873.0312
2023,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Rail,72 - 83  Metals,Import,58266130,31633.676,69740374.61
2016,Texas-Mexico Trade,Organic Chemicals,Air,28 - 38  Chemicals & Allied Industries,Import,151250,0.19,418.8785
2015,Texas-Mexico Trade,Pearls; Stones; Metals and Imitation Jewelry,Truck,68 - 71  Stone / Glass,Export,92630498,0,0
2019,Texas-Mexico Trade,Works of Art and Antiques,Other,90 - 97  Miscellaneous,Import,429872,0.019,41.8877
2020,Texas-Mexico Trade,Footwear,Air,64 - 67  Footwear / Headgear,Import,343301,3.472,7654.4556
2024,Texas-Mexico Trade,Miscellaneous Edible Preparations,Other,16 - 24  Foodstuffs,Export,8993743,0,0
2013,Texas-Mexico Trade,Special Woven Fabrics,Air,50 - 63  Textiles,Import,50291,1.257,2771.2127
2014,Texas-Mexico Trade,Rubber and Articles,Foreign Trade Zones,39 - 40  Plastics / Rubbers,Import,726,0.297,654.7734
2021,Texas-Mexico Trade,Paper and Paperboard,Rail,44 - 49  Wood & Wood Products,Export,734093928,0,0
2017,Texas-Mexico Trade,Rubber and Articles,Air,39 - 40  Plastics / Rubbers,Export,1872298,105.036,231564.9274
2017,Texas-Mexico Trade,Arms and Ammunition and Parts,Truck,90 - 97  Miscellaneous,Export,17712801,0,0
2021,Texas-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Vessel,16 - 24  Foodstuffs,Export,1731697,2442.316,5384389.495
2016,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Truck,50 - 63  Textiles,Import,113283721,20888.511,46051321.45
2020,Texas-Mexico Trade,Straw and Basketware,Truck,44 - 49  Wood & Wood Products,Export,1068281,0,0
2013,Texas-Mexico Trade,Vehicles Other than Railway,Air,86 - 89  Transportation,Export,18508860,1243.59,2741648.877
2015,Texas-Mexico Trade,Knitted or Crocheted Apparel,Vessel,50 - 63  Textiles,Import,5042802,121.916,268778.9901
2020,Texas-Mexico Trade,Explosives,Air,28 - 38  Chemicals & Allied Industries,Export,36375,0.16,352.7397
2019,Texas-Mexico Trade,Sugars and Sugar Confectionery,Truck,16 - 24  Foodstuffs,Export,187297606,0,0
2019,Texas-Mexico Trade,Special Classification Provisions,Air,98 - 99  Service,Export,4302,0.008,17.6369
2019,Texas-Mexico Trade,Measuring and Testing Instruments,Other,90 - 97  Miscellaneous,Export,4960363,0,0
2024,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Air,90 - 97  Miscellaneous,Import,29199,1.12,2469.1791
2014,Texas-Mexico Trade,Pearls; Stones; Metals and Imitation Jewelry,Rail,68 - 71  Stone / Glass,Export,147859,0,0
2013,Texas-Mexico Trade,Lead and Articles,Air,72 - 83  Metals,Export,19533,2.302,5075.0454
2014,Texas-Mexico Trade,Pharmaceutical Products,Air,28 - 38  Chemicals & Allied Industries,Export,5009722,13.43,29608.1039
2019,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Other,50 - 63  Textiles,Export,85492,0,0
2014,Texas-Mexico Trade,Coffee; Tea and Spices,Air,06 - 15  Vegetable Products,Import,93044,33.77,74450.1663
2017,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,68 - 71  Stone / Glass,Export,275343144,0,0
2020,Texas-Mexico Trade,Zinc and Articles,Other,72 - 83  Metals,Export,6135,0,0
2024,Texas-Mexico Trade,Tanning or Dyeing Extracts,Air,28 - 38  Chemicals & Allied Industries,Export,683009,12.58,27734.1727
2018,Texas-Mexico Trade,Printed Books,Truck,44 - 49  Wood & Wood Products,Import,193339510,31187.83,68757451.63
2016,Texas-Mexico Trade,Oil Seeds and Oleaginous Fruits,Vessel,06 - 15  Vegetable Products,Export,17458455,45948.508,101299202.8
2014,Texas-Mexico Trade,Ceramic Products,Air,68 - 71  Stone / Glass,Export,5451843,16.323,35986.0831
2016,Texas-Mexico Trade,Raw Hides and Skins,Rail,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,2643981,0,0
2024,Texas-Mexico Trade,Vehicles Other than Railway,Vessel,86 - 89  Transportation,Export,1761186,157.579,347402.5108
2015,Texas-Mexico Trade,Other Made up Textile Articles,Rail,50 - 63  Textiles,Export,609870,0,0
2020,Texas-Mexico Trade,Paper and Paperboard,Truck,44 - 49  Wood & Wood Products,Export,1820281540,0,0
2024,Texas-Mexico Trade,Nickel and Articles,Vessel,72 - 83  Metals,Export,2883,0.004,8.8184
2017,Texas-Mexico Trade,Knitted or Crocheted Apparel,Other,50 - 63  Textiles,Import,4159,0.211,465.1756
2016,Texas-Mexico Trade,Measuring and Testing Instruments,Truck,90 - 97  Miscellaneous,Import,7643828384,205042.969,452042736.6
2020,Texas-Mexico Trade,Sugars and Sugar Confectionery,Other,16 - 24  Foodstuffs,Export,539105,0,0
2013,Texas-Mexico Trade,Essential Oils and Resinoids,Foreign Trade Zones,28 - 38  Chemicals & Allied Industries,Import,17479,1.907,4204.2186
2014,Texas-Mexico Trade,Articles of Leather and Handbags,Air,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,176933,7.385,16281.1505
2019,Texas-Mexico Trade,Locomotives and Traffic Signals,Truck,86 - 89  Transportation,Export,599974583,0,0
2019,Texas-Mexico Trade,Raw Hides and Skins,Truck,"41 - 43  Raw Hides, Skins, Leather, & Furs",Import,72934351,6492.974,14314569.04
