State,StateCode,Year,TradeType,Mode,TradeValue
West Virginia,WV,2015,Import,Truck,29298829
Nebraska,NE,2018,Import,Truck,269433041
Kentucky,KY,2022,Export,Truck,2113819350
Utah,UT,2023,Export,Other (including unknown),4672245
Missouri,MO,2018,Export,Rail,759179164
Indiana,IN,2020,Export,Air,177103559
Texas,TX,2024,Export,Other (including unknown),1028086632
Ohio,OH,2023,Import,Air,312674757
Florida,FL,2020,Import,Other (including unknown),10410837
Maryland,MD,2022,Export,Rail,3066195
Florida,FL,2019,Export,Other (including unknown),63282381
Iowa,IA,2022,Import,Truck,2078488093
New York,NY,2015,Export,Other (including unknown),17447221
Nebraska,NE,2024,Export,Rail,966896954
Missouri,MO,2017,Export,Truck,1612727686
Nevada,NV,2023,Export,Truck,358034637
Connecticut,CT,2020,Export,Rail,136021686
Delaware,DE,2019,Import,Truck,224023595
Massachusetts,MA,2015,Export,Other (including unknown),6918704
Georgia,GA,2021,Export,Truck,3076259320
Florida,FL,2024,Import,Truck,5724618703
Idaho,"ID",2017,Export,Truck,127682633
Nevada,NV,2015,Export,Truck,248988821
Ohio,OH,2019,Export,Truck,4587593459
Mississippi,MS,2016,Export,Truck,532854982
South Dakota,SD,2021,Export,Truck,219098152
Ohio,OH,2024,Export,Rail,1169353712
State Unknown,DU,2020,Export,Truck,24049068
Michigan,MI,2021,Export,Truck,7584639462
Missouri,MO,2019,Export,Other (including unknown),8886131
Florida,FL,2019,Import,Other (including unknown),2819345
California,CA,2021,Export,Truck,24309260427
New York,NY,2023,Export,Vessel,56311482
Arizona,AZ,2023,Export,Truck,6073887992
Illinois,IL,2017,Export,Rail,2060246301
Texas,TX,2015,Export,Other (including unknown),384398932
Tennessee,TN,2021,Export,Truck,3185353457
Alabama,AL,2019,Export,Truck,1033295028
Mississippi,MS,2023,Export,Truck,940029777
Wyoming,WY,2015,Import,Air,188713
New Mexico,NM,2020,Export,Truck,2067985065
Nevada,NV,2018,Export,Truck,311604657
Georgia,GA,2021,Import,Rail,240369478
Alabama,AL,2023,Export,Truck,1654468824
New York,NY,2015,Import,Rail,64671560
Wisconsin,WI,2022,Export,Truck,3242285389
New Jersey,NJ,2018,Export,Vessel,67172764
Washington,WA,2019,Export,Other (including unknown),377421262
North Carolina,NC,2019,Export,Air,148591050
Maine,ME,2022,Import,Truck,67482839
Idaho,"ID",2021,Import,Truck,120229363
Louisiana,LA,2024,Export,Air,70776484
Georgia,GA,2023,Export,Truck,4125161735
Iowa,IA,2020,Export,Truck,632736810
Washington,WA,2018,Export,Truck,892081513
Maryland,MD,2022,Export,Other (including unknown),3248362
Minnesota,MN,2017,Import,Truck,1894302942
Arizona,AZ,2016,Import,Truck,6739406731
Arkansas,AR,2017,Export,Truck,574486506
Kansas,KS,2019,Export,Truck,880643249
South Carolina,SC,2024,Export,Rail,82749015
New Mexico,NM,2017,Export,Truck,1554087870
Colorado,CO,2015,Import,Rail,17575830
California,CA,2021,Export,Vessel,503130411
Georgia,GA,2024,Export,Vessel,33775133
Rhode Island,RI,2020,Export,Truck,146643229
California,CA,2019,Export,Truck,24110432663
Oregon,OR,2019,Export,Other (including unknown),2285551
Kentucky,KY,2018,Export,Truck,1728940608
South Carolina,SC,2023,Import,Truck,3520041261
Nebraska,NE,2023,Export,Rail,842980363
Texas,TX,2015,Export,Air,1214933145
Georgia,GA,2015,Export,Vessel,61070094
South Carolina,SC,2022,Export,Truck,1797803979
New York,NY,2018,Export,Pipeline,22182878
Texas,TX,2017,Import,Truck,72434107032
New York,NY,2022,Export,Other (including unknown),18345671
Michigan,MI,2023,Import,Truck,25641067134
California,CA,2016,Import,Air,925553117
Oklahoma,OK,2015,Export,Rail,32249346
Tennessee,TN,2022,Export,Truck,3725330599
Texas,TX,2022,Export,Rail,10321155685
Utah,UT,2023,Export,Truck,1077654526
Georgia,GA,2022,Export,Vessel,91591471
Utah,UT,2022,Export,Truck,781491642
South Carolina,SC,2016,Export,Air,57322209
Arkansas,AR,2022,Import,Other (including unknown),12043
Arkansas,AR,2024,Export,Truck,1095218530
Michigan,MI,2017,Export,Truck,8602781237
Minnesota,MN,2022,Export,Truck,2235871565
Montana,MT,2019,Export,Air,5293755
California,CA,2018,Import,Truck,36575478991
Colorado,CO,2018,Export,Truck,1086834806
Texas,TX,2018,Export,Other (including unknown),411760017
Texas,TX,2024,Export,Rail,10022922252
Mississippi,MS,2019,Export,Truck,629683496
Texas,TX,2020,Export,Rail,7806180424
Tennessee,TN,2020,Export,Vessel,17406605
Maryland,MD,2016,Export,Air,51260792
Pennsylvania,PA,2022,Export,Truck,4560665529
Texas,TX,2022,Export,Air,1277752911
Louisiana,LA,2021,Import,Vessel,2100409174
