State,StateCode,Year,TradeType,Mode,TradeValue
Alabama,AL,2020,Import,Truck,2857115319
Michigan,MI,2023,Export,Rail,2452120347
Florida,FL,2015,Export,Air,563760750
New Mexico,NM,2019,Import,Truck,1217927527
Mississippi,MS,2022,Export,Vessel,150193965
Wisconsin,WI,2020,Import,Truck,2542508915
Georgia,GA,2021,Export,Vessel,53854930
South Carolina,SC,2023,Export,Other (including unknown),159109902
Texas,TX,2024,Export,Air,1046862932
Michigan,MI,2015,Export,Vessel,4002467
Arizona,AZ,2018,Import,Air,97247870
Alabama,AL,2022,Import,Rail,79094730
Florida,FL,2015,Export,Other (including unknown),58482611
Missouri,MO,2016,Import,Truck,2461368298
North Dakota,ND,2024,Export,Rail,638959125
South Carolina,SC,2020,Export,Rail,46371969
Hawaii,HI,2023,Import,Air,3269020
Tennessee,TN,2015,Export,Rail,793664611
Virginia,VA,2023,Export,Other (including unknown),13002001
Indiana,IN,2018,Import,Air,75332409
Colorado,CO,2023,Export,Rail,113547212
New York,NY,2020,Export,Air,383263555
Georgia,GA,2024,Import,Air,188046724
Nevada,NV,2021,Export,Rail,1202912
Florida,FL,2021,Import,Truck,4886683037
Arkansas,AR,2022,Export,Vessel,665157
Arizona,AZ,2023,Export,Air,985800578
Missouri,MO,2024,Import,Truck,4744378885
Washington,WA,2020,Export,Other (including unknown),1731631
Arkansas,AR,2017,Export,Rail,204311605
Wyoming,WY,2020,Import,Rail,8173390
Kansas,KS,2023,Export,Rail,1228442633
Maryland,MD,2017,Import,Truck,1136136481
Washington,WA,2017,Export,Rail,119415070
New Mexico,NM,2015,Import,Air,3143054
Iowa,IA,2024,Import,Truck,2356858285
North Carolina,NC,2024,Export,Air,449262880
South Carolina,SC,2017,Export,Air,51212900
Pennsylvania,PA,2018,Export,Other (including unknown),25593527
Idaho,"ID",2020,Export,Rail,112016082
Maryland,MD,2021,Export,Truck,218930971
Connecticut,CT,2020,Export,Truck,504928108
State Unknown,DU,2015,Export,Vessel,47402799
Tennessee,TN,2018,Export,Rail,950360401
Kansas,KS,2018,Export,Other (including unknown),4057206
Utah,UT,2015,Import,Rail,11410979
New York,NY,2016,Import,Rail,40221892
North Dakota,ND,2019,Export,Rail,157963238
Texas,TX,2018,Import,Air,524915528
Kentucky,KY,2024,Import,Truck,8902961994
Alabama,AL,2020,Export,Rail,282467626
New Mexico,NM,2016,Import,Other (including unknown),18777932
Wisconsin,WI,2018,Export,Rail,307290947
Colorado,CO,2018,Export,Rail,118226904
Pennsylvania,PA,2023,Export,Rail,249119516
Alabama,AL,2019,Export,Air,62299303
Louisiana,LA,2019,Import,Vessel,1178951271
Georgia,GA,2017,Export,Vessel,92240779
Maine,ME,2024,Export,Air,11678658
Kentucky,KY,2019,Export,Air,428185478
South Dakota,SD,2018,Export,Truck,182614483
Arizona,AZ,2023,Export,Other (including unknown),119858448
Oklahoma,OK,2017,Import,Truck,781184570
New Jersey,NJ,2019,Export,Vessel,85369069
Ohio,OH,2022,Export,Vessel,401989265
Kansas,KS,2023,Export,Other (including unknown),94226328
Oregon,OR,2015,Export,Truck,253966121
State Unknown,DU,2018,Import,Imports into Foreign Trade Zones,574670057
Kansas,KS,2019,Export,Air,97691420
Washington,WA,2018,Import,Truck,1292346055
Idaho,"ID",2024,Import,Truck,194912220
Arizona,AZ,2021,Import,Air,65091770
Virginia,VA,2020,Import,Rail,1397502
South Carolina,SC,2017,Export,Rail,113787916
Texas,TX,2022,Export,Other (including unknown),977062766
Florida,FL,2024,Import,Vessel,3581700781
Montana,MT,2019,Export,Truck,11895463
New Mexico,NM,2017,Import,Air,3917364
Alabama,AL,2023,Import,Air,135065030
Maryland,MD,2017,Import,Air,192536925
Michigan,MI,2015,Import,Air,247456416
New Mexico,NM,2019,Import,Rail,2406578
Louisiana,LA,2023,Import,Air,51791352
Arizona,AZ,2018,Import,Truck,8248592271
Tennessee,TN,2024,Import,Rail,4640721992
Missouri,MO,2021,Import,Air,56705573
Arizona,AZ,2016,Import,Air,108962152
California,CA,2023,Import,Air,1234315961
New York,NY,2023,Import,Truck,2906988743
South Carolina,SC,2016,Import,Rail,60257257
Minnesota,MN,2022,Export,Air,110116670
Ohio,OH,2015,Import,Rail,808487194
Louisiana,LA,2017,Import,Truck,203676913
Montana,MT,2019,Export,Vessel,7190
Maryland,MD,2018,Export,Other (including unknown),1564440
Virginia,VA,2017,Import,Rail,8585776
Wisconsin,WI,2021,Import,Other (including unknown),69208
Florida,FL,2020,Export,Rail,82580596
Wisconsin,WI,2023,Export,Vessel,22197447
New York,NY,2020,Export,Other (including unknown),7992568
Delaware,DE,2018,Import,Air,1712094
Indiana,IN,2024,Import,Vessel,25267919
Minnesota,MN,2019,Import,Vessel,10571925
New Jersey,NJ,2024,Export,Rail,201518266
Kentucky,KY,2019,Export,Rail,267436436
Michigan,MI,2024,Import,Truck,32377164217
Oklahoma,OK,2024,Import,Air,62162944
Georgia,GA,2018,Export,Air,260898576
New Jersey,NJ,2020,Export,Rail,297362296
Texas,TX,2021,Export,Air,972564817
Missouri,MO,2024,Import,Rail,212351604
Kansas,KS,2016,Export,Other (including unknown),22240232
Arkansas,AR,2016,Import,Truck,566554979
North Carolina,NC,2023,Import,Air,213966235
Washington,WA,2021,Export,Other (including unknown),906225456
Georgia,GA,2015,Export,Other (including unknown),138731815
Rhode Island,RI,2022,Import,Truck,160902458
New Mexico,NM,2022,Export,Air,2286638
Kentucky,KY,2017,Export,Rail,292080304
New Jersey,NJ,2018,Import,Truck,3491306703
California,CA,2017,Import,Truck,35124318036
Iowa,IA,2021,Export,Air,15468893
Wisconsin,WI,2015,Import,Truck,2530797465
Washington,WA,2018,Import,Air,53467877
Ohio,OH,2016,Import,Imports into Foreign Trade Zones,124057966
Virginia,VA,2020,Import,Truck,1526365559
Washington,WA,2016,Import,Imports into Foreign Trade Zones,4135434
Florida,FL,2019,Import,Truck,3784901742
Michigan,MI,2024,Import,Air,495963544
California,CA,2024,Import,Truck,51491123290
Nebraska,NE,2019,Import,Rail,18020511
Ohio,OH,2024,Import,Vessel,56442426
Ohio,OH,2024,Import,Other (including unknown),24046153
Iowa,IA,2017,Export,Rail,1120262547
New Jersey,NJ,2023,Import,Vessel,1812385677
State Unknown,DU,2024,Export,Vessel,384375552
Tennessee,TN,2024,Export,Vessel,11987084
Florida,FL,2018,Export,Other (including unknown),68142856
Florida,FL,2015,Export,Mail,14634
Kentucky,KY,2021,Import,Air,130802051
Colorado,CO,2016,Export,Rail,64486145
West Virginia,WV,2022,Import,Air,6306826
Florida,FL,2024,Export,Rail,164646046
Kentucky,KY,2023,Import,Air,184523390
South Carolina,SC,2017,Import,Truck,2731619994
Oklahoma,OK,2020,Import,Air,31398289
Delaware,DE,2020,Import,Truck,333243660
Washington,WA,2022,Import,Truck,1216705610
California,CA,2016,Export,Vessel,898961429
Michigan,MI,2017,Import,Truck,18723331079
North Carolina,NC,2021,Import,Truck,7231171753
North Dakota,ND,2016,Import,Truck,105975608
Florida,FL,2019,Export,Rail,123938732
Pennsylvania,PA,2016,Import,Truck,3163128693
Kentucky,KY,2020,Export,Air,477380646
Massachusetts,MA,2023,Import,Vessel,174232342
Florida,FL,2016,Export,Vessel,530983898
Idaho,"ID",2019,Export,Truck,132293219
Washington,WA,2024,Import,Vessel,88991337
Hawaii,HI,2022,Import,Air,3493745
North Dakota,ND,2023,Export,Vessel,60542
Indiana,IN,2019,Import,Air,91248087
Mississippi,MS,2015,Export,Truck,614979465
Mississippi,MS,2018,Import,Air,18171687
Washington,WA,2017,Export,Vessel,486218234
Missouri,MO,2024,Export,Rail,1506694977
Massachusetts,MA,2019,Export,Other (including unknown),4386235
South Carolina,SC,2019,Export,Mail,112204
Wisconsin,WI,2021,Export,Rail,191000328
Oregon,OR,2022,Import,Imports into Foreign Trade Zones,25326695
Louisiana,LA,2022,Export,Rail,987229042
Kentucky,KY,2015,Import,Imports into Foreign Trade Zones,11030444
Georgia,GA,2017,Import,Imports into Foreign Trade Zones,65713480
Illinois,IL,2023,Export,Other (including unknown),31001861
Idaho,"ID",2019,Export,Air,9213094
California,CA,2020,Export,Other (including unknown),156985193
Ohio,OH,2023,Export,Vessel,362542942
Nebraska,NE,2016,Export,Other (including unknown),11537544
Alaska,AK,2020,Import,Truck,5410777
New Hampshire,NH,2023,Import,Truck,232888271
Arizona,AZ,2024,Export,Air,1535909490
Connecticut,CT,2023,Export,Air,69379724
Oklahoma,OK,2015,Export,Air,18455038
South Carolina,SC,2024,Export,Air,27786811
Wisconsin,WI,2022,Import,Truck,3702372846
South Dakota,SD,2017,Export,Truck,223712949
Texas,TX,2022,Export,Vessel,30694688548
Utah,UT,2024,Export,Vessel,2783236
California,CA,2023,Export,Rail,455223810
Tennessee,TN,2017,Import,Air,390074740
Idaho,"ID",2015,Export,Vessel,1640484
Florida,FL,2019,Import,Vessel,2508173566
Tennessee,TN,2016,Export,Rail,821140541
California,CA,2020,Export,Rail,322154150
Utah,UT,2015,Export,Air,37407062
Georgia,GA,2019,Import,Vessel,1534965510
Nevada,NV,2015,Import,Truck,459051100
Indiana,IN,2023,Export,Vessel,13717123
Pennsylvania,PA,2023,Export,Vessel,76503395
Tennessee,TN,2024,Export,Air,381435515
Massachusetts,MA,2020,Export,Air,120320533
Indiana,IN,2022,Export,Air,163433748
Virginia,VA,2020,Export,Other (including unknown),4512639
Wisconsin,WI,2024,Export,Rail,371164982
Wisconsin,WI,2022,Export,Other (including unknown),11807414
Arkansas,AR,2023,Export,Rail,265900069
Minnesota,MN,2023,Export,Air,80563318
Massachusetts,MA,2023,Export,Air,157476959
Indiana,IN,2019,Export,Air,206443576
Utah,UT,2024,Export,Rail,44584947
State Unknown,DU,2024,Import,Vessel,791400308
Delaware,DE,2017,Import,Truck,154108213
Texas,TX,2015,Import,Truck,67887124270
District of Columbia,DC,2020,Import,Air,709742
Missouri,MO,2021,Import,Truck,3679108515
State Unknown,DU,2022,Export,Truck,174636079
North Carolina,NC,2015,Export,Vessel,96466759
Rhode Island,RI,2019,Export,Air,11365028
New Jersey,NJ,2023,Export,Vessel,148781355
Missouri,MO,2020,Import,Rail,155818319
Pennsylvania,PA,2022,Export,Other (including unknown),39746862
Tennessee,TN,2019,Export,Rail,678129912
Louisiana,LA,2017,Export,Rail,653861280
North Dakota,ND,2018,Export,Rail,147415789
Louisiana,LA,2024,Import,Vessel,3460847226
Oklahoma,OK,2021,Import,Rail,9013348
West Virginia,WV,2020,Export,Truck,60240621
Connecticut,CT,2015,Import,Truck,2062269569
Alaska,AK,2018,Import,Air,1191657
Wyoming,WY,2019,Export,Truck,22492929
Alabama,AL,2020,Export,Vessel,537088862
Arkansas,AR,2016,Export,Rail,151217847
Kentucky,KY,2024,Import,Rail,592874721
New York,NY,2017,Import,Air,322793529
Tennessee,TN,2015,Import,Truck,6457317611
Massachusetts,MA,2023,Import,Truck,4416143487
Washington,WA,2015,Import,Truck,1097305527
New York,NY,2016,Import,Vessel,161469339
New Hampshire,NH,2021,Import,Truck,293830809
Illinois,IL,2020,Export,Vessel,19689000
Kansas,KS,2022,Export,Rail,1834122322
Washington,WA,2015,Export,Air,59653221
Nebraska,NE,2016,Export,Rail,983424689
Vermont,VT,2017,Export,Truck,82022124
New Mexico,NM,2022,Export,Other (including unknown),32971919
New Mexico,NM,2021,Export,Other (including unknown),25408924
Tennessee,TN,2023,Export,Rail,860527988
Arizona,AZ,2017,Export,Rail,1310393501
Alaska,AK,2015,Import,Air,16727752
Mississippi,MS,2023,Export,Air,141339985
Wisconsin,WI,2024,Import,Truck,5805623006
Arkansas,AR,2021,Import,Truck,730666999
New Jersey,NJ,2021,Import,Vessel,1118850892
Vermont,VT,2019,Export,Truck,44386316
Michigan,MI,2016,Import,Truck,18898580091
North Dakota,ND,2020,Export,Truck,47688328
Oregon,OR,2023,Import,Air,24699196
Texas,TX,2024,Export,Pipeline,5224610287
Colorado,CO,2023,Import,Truck,1127294705
Arizona,AZ,2017,Import,Air,145760301
Delaware,DE,2021,Import,Air,4619214
New Mexico,NM,2018,Import,Air,4327483
Alabama,AL,2019,Export,Rail,372496967
West Virginia,WV,2024,Export,Truck,196200498
Texas,TX,2016,Import,Truck,69939509208
Mississippi,MS,2018,Import,Truck,1333013132
Washington,WA,2022,Import,Vessel,36487640
Michigan,MI,2016,Export,Air,137558653
Alabama,AL,2023,Export,Other (including unknown),23356849
Vermont,VT,2016,Export,Air,19048437
Ohio,OH,2018,Export,Other (including unknown),11225076
Nevada,NV,2024,Export,Air,507782106
Florida,FL,2019,Export,Vessel,519976163
Florida,FL,2022,Import,Air,310679565
Illinois,IL,2020,Import,Air,137446642
Wisconsin,WI,2020,Export,Other (including unknown),6684195
Washington,WA,2016,Import,Air,55900084
Tennessee,TN,2021,Import,Rail,3331058348
Florida,FL,2020,Import,Vessel,2140301982
South Carolina,SC,2015,Import,Air,37001848
Georgia,GA,2022,Export,Other (including unknown),111299774
Wisconsin,WI,2017,Export,Air,79311952
New Jersey,NJ,2017,Export,Other (including unknown),5371737
Iowa,IA,2018,Export,Vessel,417688965
Nebraska,NE,2024,Export,Other (including unknown),23946486
New Mexico,NM,2021,Import,Truck,2119528697
Alabama,AL,2018,Import,Truck,2169474198
Massachusetts,MA,2021,Import,Vessel,44160670
Ohio,OH,2021,Import,Air,272413060
Nebraska,NE,2021,Export,Other (including unknown),6068347
California,CA,2019,Export,Rail,524301074
Tennessee,TN,2017,Export,Rail,812387923
Indiana,IN,2016,Export,Vessel,16574587
Washington,WA,2017,Import,Rail,73256154
North Carolina,NC,2024,Import,Truck,10998166370
New Mexico,NM,2021,Export,Vessel,6504456
Oregon,OR,2016,Import,Air,37281186
Iowa,IA,2016,Import,Truck,1114465632
West Virginia,WV,2022,Export,Rail,23497211
Massachusetts,MA,2018,Export,Other (including unknown),4924879
California,CA,2019,Import,Vessel,2298544224
Tennessee,TN,2020,Import,Rail,3462080816
Alabama,AL,2019,Import,Vessel,2235631668
Tennessee,TN,2022,Export,Air,269980851
Oregon,OR,2017,Export,Other (including unknown),3817666
Missouri,MO,2020,Export,Air,25230360
Kentucky,KY,2022,Import,Rail,758794745
Delaware,DE,2021,Export,Vessel,7998183
Utah,UT,2017,Import,Truck,2022242188
Mississippi,MS,2016,Export,Rail,257415095
Kansas,KS,2024,Import,Vessel,5377486
Ohio,OH,2024,Export,Other (including unknown),34628802
Oregon,OR,2021,Import,Air,36212224
Illinois,IL,2015,Import,Truck,9833585420
Kentucky,KY,2019,Import,Truck,6743694175
Arkansas,AR,2022,Import,Truck,883306587
Minnesota,MN,2020,Import,Rail,68948523
Kentucky,KY,2021,Import,Truck,6379868035
Indiana,IN,2023,Export,Other (including unknown),27866512
New York,NY,2022,Export,Air,496379989
California,CA,2017,Import,Rail,7663761768
Illinois,IL,2016,Export,Rail,2023452209
Massachusetts,MA,2018,Import,Air,144399407
Oregon,OR,2022,Import,Truck,858648595
Arkansas,AR,2019,Export,Other (including unknown),3634620
Michigan,MI,2018,Import,Rail,30493957557
Illinois,IL,2020,Export,Air,320506920
Idaho,"ID",2020,Import,Truck,136863578
Mississippi,MS,2018,Export,Other (including unknown),3029380
Indiana,IN,2021,Import,Truck,4523055700
Tennessee,TN,2020,Import,Truck,5158073243
Texas,TX,2017,Import,Air,568582923
Connecticut,CT,2021,Import,Rail,463801808
Maryland,MD,2016,Export,Rail,40173179
Georgia,GA,2019,Export,Air,165764295
West Virginia,WV,2016,Import,Truck,20639471
Connecticut,CT,2024,Export,Air,57773047
North Dakota,ND,2017,Export,Rail,170616601
Mississippi,MS,2024,Export,Other (including unknown),42582399
Ohio,OH,2019,Export,Vessel,752780994
Texas,TX,2023,Export,Vessel,26887714652
South Dakota,SD,2024,Export,Other (including unknown),16216632
Ohio,OH,2018,Import,Vessel,7280285
Texas,TX,2023,Import,Rail,4388531317
New Hampshire,NH,2022,Export,Truck,515940623
New York,NY,2021,Export,Mail,224720
Hawaii,HI,2016,Export,Truck,732700
West Virginia,WV,2022,Export,Truck,169808872
Colorado,CO,2016,Export,Air,44362003
Hawaii,HI,2015,Export,Truck,1504005
Massachusetts,MA,2020,Import,Rail,21748530
North Dakota,ND,2021,Export,Rail,416423554
Indiana,IN,2024,Export,Other (including unknown),29932110
Michigan,MI,2016,Import,Air,239899308
Arizona,AZ,2021,Import,Truck,8887518807
Maryland,MD,2021,Export,Other (including unknown),2298908
Florida,FL,2022,Import,Truck,6244771680
South Carolina,SC,2016,Export,Other (including unknown),10358943
Louisiana,LA,2020,Export,Air,44945249
Connecticut,CT,2016,Export,Vessel,841788
Vermont,VT,2015,Import,Truck,31298697
Massachusetts,MA,2021,Export,Air,169973035
South Carolina,SC,2022,Import,Vessel,93299902
California,CA,2022,Import,Air,1172023649
Pennsylvania,PA,2017,Export,Vessel,37301554
South Carolina,SC,2021,Import,Truck,3233393449
Virginia,VA,2019,Import,Truck,1213043955
Pennsylvania,PA,2016,Export,Vessel,13842539
Washington,WA,2018,Import,Vessel,76246378
Nevada,NV,2017,Export,Other (including unknown),4984381
Alaska,AK,2021,Export,Truck,24274581
Minnesota,MN,2020,Export,Other (including unknown),3950643
Kansas,KS,2022,Import,Truck,1074909830
State Unknown,DU,2016,Export,Truck,32726524
Texas,TX,2022,Import,Imports into Foreign Trade Zones,1572578381
Georgia,GA,2020,Export,Rail,238144692
Kentucky,KY,2017,Export,Other (including unknown),5133501
Nevada,NV,2024,Import,Air,50703211
Arizona,AZ,2023,Import,Truck,11036703615
Oregon,OR,2019,Import,Imports into Foreign Trade Zones,7281653
Florida,FL,2022,Import,Vessel,2726786215
Washington,WA,2018,Export,Other (including unknown),392179528
Virginia,VA,2015,Export,Rail,69758435
Alaska,AK,2017,Export,Truck,18742052
South Carolina,SC,2019,Import,Truck,3308818437
Connecticut,CT,2018,Import,Truck,2010818471
Michigan,MI,2023,Import,Air,504924932
North Carolina,NC,2023,Export,Air,443283266
Georgia,GA,2024,Export,Mail,71748
Arizona,AZ,2017,Import,Imports into Foreign Trade Zones,241628970
Nevada,NV,2020,Import,Rail,22119679
Idaho,"ID",2018,Import,Truck,195791826
Florida,FL,2021,Export,Vessel,600663187
Georgia,GA,2019,Export,Mail,26494
New Jersey,NJ,2018,Export,Rail,366855755
Montana,MT,2015,Export,Air,825688
Colorado,CO,2020,Export,Air,28032933
Maine,ME,2021,Import,Truck,45645301
Nebraska,NE,2022,Export,Rail,1458843510
Illinois,IL,2015,Import,Rail,2628040722
Louisiana,LA,2020,Export,Vessel,4446369977
Georgia,GA,2024,Export,Rail,255479625
Washington,WA,2016,Export,Vessel,444351263
New Jersey,NJ,2023,Import,Truck,4649175962
Wisconsin,WI,2023,Export,Other (including unknown),75047829
Rhode Island,RI,2020,Export,Other (including unknown),261947
Connecticut,CT,2017,Import,Rail,390009885
Maine,ME,2024,Import,Air,28705277
North Carolina,NC,2017,Export,Other (including unknown),13046083
Minnesota,MN,2021,Export,Other (including unknown),7308604
Arizona,AZ,2019,Import,Truck,8586584183
Tennessee,TN,2024,Export,Rail,943918588
Kansas,KS,2019,Export,Rail,1182644622
Georgia,GA,2022,Import,Air,234999134
Rhode Island,RI,2022,Export,Other (including unknown),364123
Georgia,GA,2015,Import,Truck,5266919300
Missouri,MO,2018,Export,Air,19628876
Georgia,GA,2016,Export,Air,172559542
Nevada,NV,2017,Import,Vessel,824650
Oregon,OR,2015,Import,Vessel,134378654
Tennessee,TN,2016,Import,Truck,5925237406
Colorado,CO,2016,Import,Truck,1498487665
Wisconsin,WI,2023,Export,Air,105876102
New York,NY,2019,Export,Other (including unknown),22877507
Kansas,KS,2018,Import,Truck,666756730
North Carolina,NC,2018,Import,Air,168621895
South Dakota,SD,2018,Import,Truck,73454774
Indiana,IN,2019,Import,Vessel,50711834
Idaho,"ID",2020,Import,Air,11291968
Colorado,CO,2024,Import,Vessel,11481344
Washington,WA,2022,Export,Air,192932370
Kentucky,KY,2016,Import,Truck,3785165363
State Unknown,DU,2015,Import,Truck,16111625
New Jersey,NJ,2021,Import,Air,139701659
California,CA,2023,Import,Vessel,4232225101
Minnesota,MN,2020,Import,Truck,2469710104
California,CA,2015,Import,Imports into Foreign Trade Zones,163822011
Utah,UT,2016,Import,Air,1162620009
Iowa,IA,2015,Export,Other (including unknown),3361656
Pennsylvania,PA,2023,Export,Air,358288372
Oregon,OR,2024,Import,Air,43873721
Connecticut,CT,2020,Export,Air,70335346
Wyoming,WY,2018,Export,Other (including unknown),737204
Ohio,OH,2015,Import,Air,209564209
Delaware,DE,2024,Export,Truck,336870000
Nevada,NV,2021,Import,Truck,1036519478
Oklahoma,OK,2015,Export,Other (including unknown),23088157
Ohio,OH,2024,Export,Vessel,91857319
Alabama,AL,2020,Export,Other (including unknown),11901987
California,CA,2019,Export,Air,1926001483
Idaho,"ID",2020,Import,Vessel,34216
Kentucky,KY,2022,Import,Air,167986709
Missouri,MO,2019,Import,Truck,3217102214
Florida,FL,2024,Import,Rail,246073696
Montana,MT,2016,Import,Truck,57776951
New York,NY,2021,Export,Air,447728066
State Unknown,DU,2021,Export,Vessel,116407425
West Virginia,WV,2016,Export,Air,9774814
North Dakota,ND,2022,Export,Other (including unknown),844756
North Carolina,NC,2024,Export,Other (including unknown),23498992
State Unknown,DU,2015,Import,Vessel,370051447
Maine,ME,2023,Import,Air,40094679
New Mexico,NM,2024,Export,Rail,42006824
Wisconsin,WI,2019,Import,Rail,78896541
Texas,TX,2018,Export,Vessel,19718026285
Kentucky,KY,2021,Export,Rail,142944254
California,CA,2022,Import,Imports into Foreign Trade Zones,543863384
Oregon,OR,2016,Export,Rail,24249056
Utah,UT,2015,Import,Air,940416951
Wisconsin,WI,2016,Import,Vessel,3297489
Florida,FL,2024,Import,Imports into Foreign Trade Zones,17123954
Utah,UT,2019,Export,Air,23430182
North Carolina,NC,2022,Export,Vessel,192546553
Kansas,KS,2024,Export,Rail,1286924506
New Hampshire,NH,2019,Import,Air,76248050
New York,NY,2016,Import,Imports into Foreign Trade Zones,195531
Missouri,MO,2022,Import,Truck,4436505195
Kansas,KS,2021,Export,Rail,1658184080
Missouri,MO,2021,Export,Rail,1389083938
California,CA,2017,Import,Vessel,2329168988
New York,NY,2021,Export,Other (including unknown),12466985
Minnesota,MN,2015,Import,Truck,1922090380
Utah,UT,2017,Export,Vessel,3287513
State Unknown,DU,2021,Import,Air,19749944
Ohio,OH,2015,Export,Air,276230200
State Unknown,DU,2021,Export,Truck,157805910
State Unknown,DU,2019,Export,Air,329753611
California,CA,2022,Import,Rail,4212039812
Michigan,MI,2019,Import,Vessel,5138083442
Texas,TX,2021,Import,Vessel,12250068713
Oklahoma,OK,2024,Import,Truck,1033568723
New Mexico,NM,2019,Export,Rail,47056159
New York,NY,2016,Import,Truck,2859544868
Washington,WA,2023,Export,Rail,89420247
Alabama,AL,2016,Export,Other (including unknown),3079733
Alabama,AL,2021,Import,Rail,42595141
Nevada,NV,2017,Import,Other (including unknown),9497334
Tennessee,TN,2017,Import,Vessel,69416332
Wisconsin,WI,2017,Export,Other (including unknown),5441183
Virginia,VA,2017,Export,Air,45704822
Wyoming,WY,2017,Export,Truck,14016052
Idaho,"ID",2022,Import,Truck,157145671
Indiana,IN,2017,Import,Truck,4557429038
District of Columbia,DC,2024,Import,Air,688702
Oklahoma,OK,2019,Export,Rail,81780671
Kentucky,KY,2021,Export,Other (including unknown),5974841
Georgia,GA,2018,Import,Air,161921784
Minnesota,MN,2022,Import,Other (including unknown),45319
Idaho,"ID",2018,Export,Truck,113809692
Minnesota,MN,2020,Export,Air,64564543
South Dakota,SD,2023,Import,Truck,84763951
Virginia,VA,2016,Export,Other (including unknown),6442865
Idaho,"ID",2016,Export,Truck,135157042
Missouri,MO,2020,Export,Rail,800719804
North Dakota,ND,2015,Import,Vessel,7839227
Connecticut,CT,2022,Import,Rail,486162854
Virginia,VA,2021,Export,Other (including unknown),4974340
South Carolina,SC,2020,Import,Air,48392529
Rhode Island,RI,2017,Import,Truck,186071246
New Mexico,NM,2018,Export,Other (including unknown),5200980
Wyoming,WY,2022,Import,Truck,17336546
Pennsylvania,PA,2015,Import,Vessel,461298093
Utah,UT,2022,Export,Air,193675140
North Carolina,NC,2021,Export,Vessel,92553679
State Unknown,DU,2017,Export,Air,258773849
Oklahoma,OK,2023,Export,Rail,114739311
Oklahoma,OK,2022,Export,Other (including unknown),13165858
Ohio,OH,2019,Export,Mail,60840
Kansas,KS,2024,Export,Other (including unknown),125486985
Michigan,MI,2018,Import,Vessel,4517403545
Massachusetts,MA,2015,Import,Rail,28929462
Oregon,OR,2017,Import,Air,37287496
Georgia,GA,2024,Export,Air,280690294
Georgia,GA,2017,Import,Vessel,827859382
Connecticut,CT,2021,Export,Rail,224595627
New Mexico,NM,2018,Export,Rail,40890068
New Jersey,NJ,2017,Export,Air,91659569
North Carolina,NC,2021,Export,Rail,87759697
Tennessee,TN,2022,Import,Other (including unknown),914186
Illinois,IL,2024,Import,Truck,11722563394
Louisiana,LA,2017,Import,Air,23298133
State Unknown,DU,2017,Import,Air,12728359
South Carolina,SC,2023,Export,Rail,72382860
Colorado,CO,2018,Export,Other (including unknown),9101344
Minnesota,MN,2020,Import,Vessel,7213631
Colorado,CO,2021,Import,Air,50798365
Florida,FL,2016,Import,Truck,3285863884
Washington,WA,2022,Export,Vessel,670631316
Michigan,MI,2016,Export,Vessel,1889174
Kentucky,KY,2018,Import,Air,222645581
North Dakota,ND,2017,Export,Truck,53056936
Michigan,MI,2020,Export,Air,118337448
North Carolina,NC,2018,Export,Other (including unknown),7649715
Oregon,OR,2024,Export,Air,36646789
Massachusetts,MA,2019,Export,Air,185385681
Georgia,GA,2015,Import,Air,113445246
Oklahoma,OK,2020,Export,Other (including unknown),9886674
Delaware,DE,2021,Export,Rail,4110600
Mississippi,MS,2018,Import,Other (including unknown),22503
Connecticut,CT,2016,Export,Rail,189662681
Illinois,IL,2019,Export,Vessel,104551849
Michigan,MI,2022,Import,Air,710448185
New York,NY,2015,Export,Rail,129350177
State Unknown,DU,2023,Import,Other (including unknown),2953216734
New York,NY,2018,Export,Mail,223137
Connecticut,CT,2017,Import,Vessel,67406420
New Hampshire,NH,2015,Import,Air,12094351
Michigan,MI,2022,Import,Truck,20811867428
Alaska,AK,2019,Import,Truck,14823349
New York,NY,2022,Export,Vessel,102290184
Minnesota,MN,2017,Export,Other (including unknown),3920888
State Unknown,DU,2017,Export,Other (including unknown),6782132709
Virginia,VA,2021,Import,Air,28913592
Utah,UT,2021,Import,Air,1409073506
New Jersey,NJ,2019,Export,Other (including unknown),5807078
North Carolina,NC,2024,Import,Rail,193871794
Wyoming,WY,2023,Export,Rail,29546659
Maryland,MD,2024,Import,Truck,1157020502
South Carolina,SC,2018,Import,Vessel,48969655
New Jersey,NJ,2018,Export,Other (including unknown),3313688
North Carolina,NC,2022,Import,Vessel,276372423
New Hampshire,NH,2019,Export,Air,72759638
Wisconsin,WI,2022,Export,Vessel,17407667
Texas,TX,2020,Import,Other (including unknown),413053934
South Carolina,SC,2024,Export,Other (including unknown),14884441
Maryland,MD,2021,Import,Truck,1241668463
North Carolina,NC,2020,Import,Air,231586355
Wisconsin,WI,2022,Export,Rail,246684425
Connecticut,CT,2019,Import,Truck,2275305596
Indiana,IN,2024,Import,Truck,5452844037
Louisiana,LA,2015,Export,Rail,719284738
Utah,UT,2024,Import,Truck,3216255385
Tennessee,TN,2023,Import,Vessel,830844598
Florida,FL,2024,Export,Air,1020805867
Louisiana,LA,2020,Import,Truck,275019518
North Dakota,ND,2015,Export,Rail,241691016
Pennsylvania,PA,2020,Import,Truck,4646042598
Idaho,"ID",2023,Export,Other (including unknown),1522698
Hawaii,HI,2016,Import,Truck,4691511
New Hampshire,NH,2017,Export,Other (including unknown),1247727
